24  23  0  0  24  23  0  0  24  23  0  0  24  21  0  2 40.9706 39.9706  50.2711   0 0  0
24  23  0  0  24  23  0  0  24  23  0  0  24  23  0  0 40.9706 39.9706  50.2711   0 0  0
24  23  -1  0  24  23  0  0  24  23  0  0  24  23  0  0 41.9706 40.9706  51.2711   1 1  1
23  23  0  -1  24  23  0  0  24  23  -1  0  24  23  0  0 43.3848 41.9706  52.6853   1.41421 1  1.41421
23  22  -1  -1  24  23  -1  -1  23  23  0  -1  24  23  0  0 44.799 43.3848  55.5138   1.41421 1.41421  2.82843
22  21  -1  -1  23  22  -1  -1  23  22  -1  -1  24  23  0  0 46.2132 44.799  59.7564   1.41421 1.41421  4.24264
21  20  0  0  22  21  -1  -1  22  21  -1  -1  24  23  0  0 46.2132 44.799  63.999   0 0  4.24264
21  20  -1  0  21  20  0  0  21  20  0  0  24  23  -3  -3 47.2132 45.799  64.999   1 1  1
20  20  0  0  21  20  -1  0  21  20  -1  0  21  20  -1  0 47.2132 45.799  64.999   0 0  0
20  20  0  -1  20  20  0  0  20  20  0  0  20  20  0  0 48.2132 46.799  65.999   1 1  1
20  19  0  0  20  20  0  -1  20  20  0  -1  20  20  0  0 48.2132 46.799  66.999   0 0  1
20  19  0  0  20  19  0  0  20  19  0  0  20  20  0  -1 48.2132 46.799  66.999   0 0  0
20  19  -1  -1  20  19  0  0  20  19  0  0  20  19  0  0 49.6274 48.2132  68.4133   1.41421 1.41421  1.41421
19  18  -1  -1  20  19  -1  -1  20  19  -1  -1  20  19  0  0 51.0416 49.6274  71.2417   1.41421 1.41421  2.82843
18  17  0  -1  19  18  -1  -1  19  18  -1  -1  20  19  -2  -2 52.0416 50.6274  72.2417   1 1  1
18  16  -1  0  18  17  0  -1  18  17  0  -1  18  17  0  -1 53.0416 51.6274  73.2417   1 1  1
17  16  -1  0  18  16  -1  0  18  16  -1  0  18  16  -1  0 54.0416 52.6274  74.2417   1 1  1
16  16  -1  -1  17  16  -1  0  17  16  -1  0  17  16  -1  0 55.4558 54.0416  75.6559   1.41421 1.41421  1.41421
15  15  -1  -1  16  16  -1  -1  16  16  -1  -1  16  16  -1  -1 56.8701 55.4558  77.0701   1.41421 1.41421  1.41421
14  14  -1  0  15  15  -1  -1  15  15  -1  -1  15  15  -1  -1 57.8701 56.4558  78.0701   1 1  1
13  14  -1  0  14  14  -1  0  14  14  -1  0  14  14  -1  0 58.8701 57.4558  79.0701   1 1  1
12  14  0  -1  13  14  -1  0  13  14  -1  0  13  14  -1  0 59.8701 58.4558  80.0701   1 1  1
12  13  0  0  12  14  0  -1  12  14  0  -1  12  14  0  -1 59.8701 58.4558  80.0701   0 0  0
12  13  -1  -1  12  13  0  0  12  13  0  0  12  13  0  0 61.2843 59.8701  81.4843   1.41421 1.41421  1.41421
11  12  0  -1  12  13  -1  -1  12  13  -1  -1  12  13  0  0 62.2843 60.8701  83.7204   1 1  2.23607
11  11  -1  0  11  12  0  -1  11  12  0  -1  12  13  -1  -2 63.2843 61.8701  84.7204   1 1  1
10  11  0  -1  11  11  -1  0  11  11  -1  0  11  11  -1  0 64.2843 62.8701  85.7204   1 1  1
10  10  0  0  10  11  0  -1  10  11  0  -1  10  11  0  -1 64.2843 62.8701  85.7204   0 0  0
10  10  -1  0  10  10  0  0  10  10  0  0  10  10  0  0 65.2843 63.8701  86.7204   1 1  1
9  10  0  0  10  10  -1  0  10  10  -1  0  10  10  -1  0 65.2843 63.8701  86.7204   0 0  0
9  10  0  0  9  10  0  0  9  10  0  0  9  10  0  0 65.2843 63.8701  86.7204   0 0  0
9  10  -1  0  9  10  0  0  9  10  0  0  9  10  0  0 66.2843 64.8701  87.7204   1 1  1
8  10  -1  0  9  10  -1  0  9  10  -1  0  9  10  0  0 67.2843 65.8701  89.7204   1 1  2
7  10  0  -1  8  10  -1  0  8  10  -1  0  9  10  -2  0 68.2843 66.8701  90.7204   1 1  1
7  9  0  0  7  10  0  -1  7  10  0  -1  7  10  0  -1 68.2843 66.8701  90.7204   0 0  0
7  9  0  -1  7  9  0  0  7  9  0  0  7  9  0  0 69.2843 67.8701  91.7204   1 1  1
7  8  -1  -1  7  9  0  -1  7  9  0  -1  7  9  0  -1 70.6985 69.2843  93.1346   1.41421 1.41421  1.41421
6  7  0  -1  7  8  -1  -1  7  8  -1  -1  7  8  -1  -1 71.6985 70.2843  94.1346   1 1  1
6  6  0  -1  6  7  0  -1  6  7  0  -1  6  7  0  -1 72.6985 71.2843  95.1346   1 1  1
6  5  0  -1  6  6  0  0  6  6  0  -1  6  6  0  -1 74.6985 72.2843  96.1346   2 1  1
6  4  -1  0  6  6  0  -2  6  5  0  -1  6  5  0  -1 75.6985 73.2843  97.1346   1 1  1
5  4  0  -1  6  4  -1  0  6  4  -1  0  6  4  -1  0 76.6985 74.2843  98.1346   1 1  1
5  3  0  -1  5  4  0  -1  5  4  0  -1  5  4  0  -1 77.6985 75.2843  99.1346   1 1  1
5  2  0  -1  5  3  0  -1  5  3  0  -1  5  3  0  -1 78.6985 76.2843  100.135   1 1  1
5  1  0  0  5  2  0  -1  5  2  0  -1  5  2  0  -1 78.6985 76.2843  100.135   0 0  0
5  1  0  0  5  1  0  0  5  1  0  0  5  1  0  0 78.6985 76.2843  100.135   0 0  0
5  1  0  -1  5  1  0  0  5  1  0  0  5  1  0  0 79.6985 77.2843  101.135   1 1  1
5  0  0  0  5  1  0  0  5  1  0  -1  5  1  0  0 80.6985 77.2843  102.135   1 0  1
5  0  0  0  5  1  0  -1  5  0  0  0  5  1  0  -1 80.6985 77.2843  102.135   0 0  0
5  0  -1  0  5  0  0  0  5  0  0  0  5  0  0  0 81.6985 78.2843  103.135   1 1  1
4  0  -1  0  5  0  0  0  5  0  -1  0  5  0  0  0 83.6985 79.2843  105.135   2 1  2
3  0  -1  0  5  0  -2  0  4  0  -1  0  5  0  0  0 84.6985 80.2843  108.135   1 1  3
2  0  0  0  3  0  -1  0  3  0  -1  0  5  0  -3  0 84.6985 80.2843  108.135   0 0  0
2  0  -1  0  2  0  0  0  2  0  0  0  2  0  0  0 85.6985 81.2843  109.135   1 1  1
